依赖关系解决

=========================================================================================================================================
 软件包                          架构          版本                        仓库                                                     大小
=========================================================================================================================================
正在安装:
 zlib                            i686          1.2.3-29.el6                base                                                     73 k
为依赖而更新:
 audit                           x86_64        2.4.5-6.el6                 base                                                    204 k
 audit-libs                      x86_64        2.4.5-6.el6                 base                                                     74 k
 audit-libs-devel                x86_64        2.4.5-6.el6                 base                                                     69 k
 avahi-libs                      x86_64        0.6.25-17.el6               base                                                     55 k
 cairo                           x86_64        1.8.8-6.el6_6               base                                                    309 k
 cairo-devel                     x86_64        1.8.8-6.el6_6               base                                                    314 k
 cpp                             x86_64        4.4.7-18.el6                base                                                    3.7 M
 cups                            x86_64        1:1.4.2-77.el6              base                                                    2.3 M
 cups-libs                       x86_64        1:1.4.2-77.el6              base                                                    322 k
 dbus                            x86_64        1:1.2.24-8.el6_6            base                                                    207 k
 dbus-devel                      x86_64        1:1.2.24-8.el6_6            base                                                     47 k
 dbus-libs                       x86_64        1:1.2.24-8.el6_6            base                                                    127 k
 dbus-x11                        x86_64        1:1.2.24-8.el6_6            base                                                     40 k
 e2fsprogs                       x86_64        1.41.12-23.el6              base                                                    554 k
 e2fsprogs-libs                  x86_64        1.41.12-23.el6              base                                                    121 k
 expat                           x86_64        2.0.1-13.el6_8              base                                                     77 k
 freetype                        x86_64        2.3.11-17.el6               base                                                    361 k
 freetype-devel                  x86_64        2.3.11-17.el6               base                                                    365 k
 gcc                             x86_64        4.4.7-18.el6                base                                                     10 M
 gcc-c++                         x86_64        4.4.7-18.el6                base                                                    4.7 M
 gcc-gfortran                    x86_64        4.4.7-18.el6                base                                                    4.7 M
 glibc                           x86_64        2.12-1.209.el6_9.1          updates                                                 3.8 M
 glibc-common                    x86_64        2.12-1.209.el6_9.1          updates                                                  14 M
 glibc-devel                     x86_64        2.12-1.209.el6_9.1          updates                                                 991 k
 glibc-headers                   x86_64        2.12-1.209.el6_9.1          updates                                                 619 k
 gnutls                          x86_64        2.12.23-21.el6              base                                                    389 k
 gnutls-devel                    x86_64        2.12.23-21.el6              base                                                    1.2 M
 gnutls-utils                    x86_64        2.12.23-21.el6              base                                                    109 k
 krb5-devel                      x86_64        1.10.3-65.el6               base                                                    504 k
 krb5-libs                       x86_64        1.10.3-65.el6               base                                                    675 k
 krb5-workstation                x86_64        1.10.3-65.el6               base                                                    814 k
 libX11                          x86_64        1.6.4-3.el6                 base                                                    587 k
 libX11-common                   noarch        1.6.4-3.el6                 base                                                    171 k
 libX11-devel                    x86_64        1.6.4-3.el6                 base                                                    983 k
 libXext                         x86_64        1.3.3-1.el6                 base                                                     35 k
 libXext-devel                   x86_64        1.3.3-1.el6                 base                                                     75 k
 libXrender                      x86_64        0.9.10-1.el6                base                                                     24 k
 libXrender-devel                x86_64        0.9.10-1.el6                base                                                     17 k
 libblkid                        x86_64        2.17.2-12.28.el6            base                                                    118 k
 libcom_err                      x86_64        1.41.12-23.el6              base                                                     38 k
 libcom_err-devel                x86_64        1.41.12-23.el6              base                                                     33 k
 libgcc                          x86_64        4.4.7-18.el6                base                                                    103 k
 libgcrypt                       x86_64        1.4.5-12.el6_8              base                                                    229 k
 libgcrypt-devel                 x86_64        1.4.5-12.el6_8              base                                                    118 k
 libgfortran                     x86_64        4.4.7-18.el6                base                                                    268 k
 libgomp                         x86_64        4.4.7-18.el6                base                                                    134 k
 libpng                          x86_64        2:1.2.49-2.el6_7            base                                                    182 k
 libpng-devel                    x86_64        2:1.2.49-2.el6_7            base                                                    112 k
 libselinux                      x86_64        2.0.94-7.el6                base                                                    109 k
 libselinux-devel                x86_64        2.0.94-7.el6                base                                                    137 k
 libselinux-python               x86_64        2.0.94-7.el6                base                                                    203 k
 libselinux-utils                x86_64        2.0.94-7.el6                base                                                     82 k
 libss                           x86_64        1.41.12-23.el6              base                                                     42 k
 libstdc++                       x86_64        4.4.7-18.el6                base                                                    295 k
 libstdc++-devel                 x86_64        4.4.7-18.el6                base                                                    1.6 M
 libtiff                         x86_64        3.9.4-21.el6_8              base                                                    346 k
 libuuid                         x86_64        2.17.2-12.28.el6            base                                                     71 k
 libxcb                          x86_64        1.12-4.el6                  base                                                    180 k
 libxcb-devel                    x86_64        1.12-4.el6                  base                                                    1.1 M
 nss-softokn                     x86_64        3.14.3-23.3.el6_8           base                                                    262 k
 nss-softokn-devel               x86_64        3.14.3-23.3.el6_8           base                                                     14 k
 nss-softokn-freebl              x86_64        3.14.3-23.3.el6_8           base                                                    168 k
 nss-softokn-freebl-devel        x86_64        3.14.3-23.3.el6_8           base                                                    140 k
 pixman                          x86_64        0.32.8-1.el6                base                                                    243 k
 pixman-devel                    x86_64        0.32.8-1.el6                base                                                     20 k
 tzdata                          noarch        2017b-1.el6                 updates                                                 455 k
 util-linux-ng                   x86_64        2.17.2-12.28.el6            base                                                    1.6 M

事务概要
=========================================================================================================================================
Install      36 Package(s)
Upgrade      67 Package(s)
